course_id,course_semester,course_subject_id,course_name_ch,course_name_en,course_teacher,course_credit,course_begin_time,course_end_time,course_weekday,location_id,course_dept,course_type,general_category,central_general,course_maxnum
,,000350051,行銷管理,Marketing,李嘉林,3.0,thu09-12 thu 09 10 11,,,研究250301,企管系,必/Required,,否/No,
,,000351001,投資學,Investments,顏錫銘,3.0,thu14-17 thu 14 15 16,,,逸仙050101,財管系,必/Required,,否/No,
,,000351011,投資學,Investments,李志宏,3.0,tue13-16 tue 13 14 15,,,研究250105,財管系,必/Required,,否/No,
,,000351021,投資學,Investments,吳啟銘,3.0,mon13-16 mon 13 14 15,,,商館260102,財管系,必/Required,,否/No,
,,000351031,投資學,Investments,林靖庭,3.0,mon13-16 mon 13 14 15,,,學思040202,財管系,必/Required,,否/No,
,,000356001,社會責任與倫理,Social Responsibility,黃秉德,1.0,tue09-12 tue 09 10 11,,,研究250305,企管系,必/Required,,否/No,
,,000356011,社會責任與倫理,Social Responsibility,陳立民,1.0,fri09-12 fri 09 10 11,,,研究250103,企管系,必/Required,,否/No,
,,000356021,社會責任與倫理,Social Responsibility,蘇威傑,1.0,thu18-21 thu 18 19 20,,,商館260101,企管系,必/Required,,否/No,
,,000356041,社會責任與倫理,Social Responsibility,劉世慶,1.0,fri09-12 fri 09 10 11,,,學思040301,企管系,必/Required,,否/No,
,,000356051,社會責任與倫理,Social Responsibility,黃秉德,1.0,tue09-12 tue 09 10 11,,,,企管系,必/Required,,否/No,
,,000601002,民法概要,Civil Law,王正偉,2.0,mon16-18 mon 16 17,,,學思040103,法律系,選/Elective,,否/No,
